id,data_criacao,tipo_chamado,dias_problema,risco_vida_humana,risco_vida_animal,bloqueio_via,urgencia
BCS-00069404,2025-08-09 09:49:15.104000+00:00,Animal Perdido,248,Sim,Não,Não,URGENTE
BCS-00069403,2025-08-09 09:50:52.594000+00:00,Problema com Animal Doméstico,248,Não,Sim,Não,URGENTE
BCS-00069242,2025-08-08 16:03:44.210000+00:00,Problema com Animal Doméstico,249,Sim,Sim,Não,URGENTE
BCS-00069417,2025-08-09 10:16:12.430000+00:00,Problema com Animal Selvagem,248,Não,Sim,Não,URGENTE
BCS-00069423,2025-08-09 10:26:34.842000+00:00,Problema com Animal Selvagem,248,Sim,Sim,Não,URGENTE
BCS-00069427,2025-08-09 10:47:18.381000+00:00,Problema com Animal Selvagem,248,Não,Não,Não,MEDIA
BCS-00069291,2025-08-08 18:08:03.258000+00:00,Problema com Animal Doméstico,249,Sim,Não,Não,URGENTE
BCS-00069334,2025-08-08 20:31:40.832000+00:00,Problema com Animal Selvagem,249,Não,Não,Não,ALTA
BCS-00069336,2025-08-08 20:37:09.903000+00:00,Problema com Animal Selvagem,249,Não,Não,Sim,URGENTE
BCS-00069337,2025-08-08 20:45:20.265000+00:00,Problema com Animal Doméstico,249,Não,Não,Não,ALTA
BCS-00069479,2025-08-09 12:38:17.125000+00:00,Problema com Animal Doméstico,248,Sim,Não,Sim,URGENTE
BCS-00069296,2025-08-08 18:38:20.513000+00:00,Animal Perdido,249,Sim,Não,Não,URGENTE
BCS-00069496,2025-08-09 13:46:37.654000+00:00,Problema com Animal Doméstico,248,Não,Não,Não,MEDIA
BCS-00069497,2025-08-09 13:49:02.298000+00:00,Problema com Animal Selvagem,248,Sim,Sim,Não,URGENTE
BCS-00155895,2026-02-05 15:43:35.524000+00:00,Outros Problemas com Postes,68,Não,Não,Sim,URGENTE
BCS-00069506,2025-08-09 14:13:42.541000+00:00,Problema com Animal Doméstico,248,Não,Sim,Não,URGENTE
BCS-00069509,2025-08-09 14:27:07.014000+00:00,Problema com Animal Selvagem,248,Não,Sim,Sim,URGENTE
BCS-00069367,2025-08-09 07:46:44.802000+00:00,Problema com Animal Doméstico,248,Sim,Não,Sim,URGENTE
BCS-00069384,2025-08-09 08:53:17.463000+00:00,Problema com Animal Selvagem,248,Sim,Não,Sim,URGENTE
BCS-00069592,2025-08-09 19:30:31.209000+00:00,Problema com Animal Selvagem,248,Não,Não,Sim,ALTA
BCS-00069601,2025-08-09 20:29:09.851000+00:00,Animal Perdido,248,Sim,Sim,Não,URGENTE
BCS-00069606,2025-08-09 20:42:04.971000+00:00,Problema com Animal Doméstico,248,Sim,Não,Não,URGENTE
BCS-00069520,2025-08-09 15:00:16.775000+00:00,Problema com Animal Doméstico,248,Sim,Sim,Sim,URGENTE
BCS-00069525,2025-08-09 15:34:24.936000+00:00,Problema com Animal Selvagem,248,Não,Não,Sim,ALTA
BCS-00069538,2025-08-09 15:54:33.174000+00:00,Problema com Animal Selvagem,248,Sim,Sim,Sim,URGENTE
BCS-00069612,2025-08-09 21:19:14.679000+00:00,Problema com Animal Doméstico,248,Sim,Sim,Sim,URGENTE
BCS-00069618,2025-08-09 21:44:34.337000+00:00,Problema com Animal Selvagem,248,Sim,Sim,Sim,URGENTE
BCS-00069619,2025-08-09 22:02:04.114000+00:00,Problema com Animal Selvagem,248,Não,Sim,Não,URGENTE
BCS-00069629,2025-08-09 23:07:40.053000+00:00,Problema com Animal Doméstico,248,Não,Sim,Sim,URGENTE
BCS-00165531,2026-02-24 10:20:58.685645+00:00,Luz Queimada Poste,49,Sim,Não,Não,URGENTE
BCS-00069693,2025-08-10 10:50:04.347000+00:00,Problema com Animal Doméstico,247,Não,Não,Não,MEDIA
BCS-00069700,2025-08-10 11:13:11.524000+00:00,Problema com Animal Selvagem,247,Não,Não,Sim,URGENTE
BCS-00069674,2025-08-10 08:59:37.988000+00:00,Problema com Animal Selvagem,247,Não,Sim,Não,URGENTE
BCS-00069880,2025-08-11 03:47:40.401000+00:00,Animal Perdido,246,Não,Não,Não,MEDIA
BCS-00069895,2025-08-11 07:11:21.323000+00:00,Problema com Animal Doméstico,246,Sim,Não,Não,URGENTE
BCS-00069900,2025-08-11 07:46:49.793000+00:00,Problema com Animal Selvagem,246,Sim,Não,Sim,URGENTE
BCS-00069909,2025-08-11 08:12:23.331000+00:00,Problema com Animal Doméstico,246,Sim,Não,Sim,URGENTE
BCS-00069914,2025-08-11 08:29:32.406000+00:00,Problema com Animal Selvagem,246,Sim,Sim,Sim,URGENTE
BCS-00069916,2025-08-11 08:38:02.770000+00:00,Problema com Animal Doméstico,246,Não,Não,Sim,URGENTE
BCS-00069923,2025-08-11 08:48:01.230000+00:00,Problema com Animal Selvagem,246,Sim,Não,Não,URGENTE
BCS-00069590,2025-08-09 19:26:43.349000+00:00,Problema com Animal Selvagem,248,Sim,Sim,Sim,URGENTE
BCS-00069803,2025-08-10 17:16:26.265000+00:00,Problema com Animal Selvagem,247,Não,Sim,Sim,URGENTE
BCS-00069809,2025-08-10 17:38:21.257000+00:00,Problema com Animal Selvagem,247,Sim,Não,Não,URGENTE
BCS-00069716,2025-08-10 12:00:03.529000+00:00,Problema com Animal Doméstico,247,Sim,Sim,Sim,URGENTE
BCS-00069726,2025-08-10 12:43:14.273000+00:00,Problema com Animal Selvagem,247,Sim,Sim,Não,URGENTE
BCS-00069836,2025-08-10 19:30:40.659000+00:00,Problema com Animal Selvagem,247,Sim,Sim,Não,URGENTE
BCS-00069873,2025-08-10 23:08:13.101000+00:00,Problema com Animal Selvagem,247,Sim,Não,Não,URGENTE
BCS-00069877,2025-08-11 01:39:29.031000+00:00,Problema com Animal Selvagem,247,Não,Sim,Não,ALTA
BCS-00069738,2025-08-10 13:28:02.908000+00:00,Problema com Animal Selvagem,247,Não,Não,Sim,URGENTE
BCS-00069743,2025-08-10 13:40:08.460000+00:00,Problema com Animal Doméstico,247,Não,Sim,Sim,URGENTE
BCS-00069755,2025-08-10 14:37:46.205000+00:00,Problema com Animal Doméstico,247,Sim,Não,Não,URGENTE
BCS-00069758,2025-08-10 14:48:47.893000+00:00,Problema com Animal Selvagem,247,Não,Não,Não,MEDIA
BCS-00070080,2025-08-11 11:08:41.202000+00:00,Problema com Animal Selvagem,246,Não,Não,Não,MEDIA
BCS-00070095,2025-08-11 11:20:09.003000+00:00,Problema com Animal Selvagem,246,Sim,Sim,Não,URGENTE
BCS-00070126,2025-08-11 11:45:21.974000+00:00,Problema com Animal Doméstico,246,Sim,Sim,Não,URGENTE
BCS-00070329,2025-08-11 16:01:00.272000+00:00,Problema com Animal Selvagem,246,Sim,Não,Não,ALTA
BCS-00070399,2025-08-11 17:29:49.523000+00:00,Problema com Animal Doméstico,246,Não,Não,Não,ALTA
BCS-00070410,2025-08-11 18:10:08.576000+00:00,Problema com Animal Doméstico,246,Não,Sim,Não,URGENTE
BCS-00070412,2025-08-11 18:24:48.403000+00:00,Problema com Animal Doméstico,246,Não,Não,Sim,URGENTE
BCS-00070443,2025-08-11 20:31:19.162000+00:00,Problema com Animal Doméstico,246,Não,Sim,Não,URGENTE
BCS-00070444,2025-08-11 20:37:08.118000+00:00,Problema com Animal Doméstico,246,Sim,Sim,Sim,URGENTE
BCS-00070657,2025-08-12 11:12:32.145000+00:00,Animal Perdido,245,Sim,Não,Não,URGENTE
BCS-00070462,2025-08-11 23:14:45.873000+00:00,Problema com Animal Selvagem,246,Sim,Não,Não,URGENTE
BCS-00070474,2025-08-12 07:22:29.292000+00:00,Problema com Animal Selvagem,245,Não,Não,Não,BAIXA
BCS-00070477,2025-08-12 07:30:24.390000+00:00,Problema com Animal Doméstico,245,Sim,Sim,Não,URGENTE
BCS-00070484,2025-08-12 07:51:24.778000+00:00,Problema com Animal Selvagem,245,Sim,Sim,Sim,URGENTE
BCS-00070490,2025-08-12 08:00:18.127000+00:00,Animal Perdido,245,Sim,Não,Não,URGENTE
BCS-00070525,2025-08-12 08:57:46.373000+00:00,Problema com Animal Selvagem,245,Sim,Não,Não,ALTA
BCS-00070957,2025-08-12 16:14:30.559000+00:00,Problema com Animal Doméstico,245,Não,Não,Não,MEDIA
BCS-00070874,2025-08-12 14:54:24.255000+00:00,Problema com Animal Doméstico,245,Não,Sim,Sim,URGENTE
BCS-00070871,2025-08-12 14:54:32.550000+00:00,Problema com Animal Doméstico,245,Não,Não,Sim,ALTA
BCS-00070881,2025-08-12 15:04:47.965000+00:00,Problema com Animal Doméstico,245,Não,Não,Não,ALTA
BCS-00070968,2025-08-12 16:26:42.343000+00:00,Problema com Animal Selvagem,245,Não,Não,Sim,ALTA
BCS-00166952,2026-02-25 11:47:23.097000+00:00,Problema com Animal Doméstico,48,Não,Não,Sim,ALTA
BCS-00071051,2025-08-12 19:23:22.238000+00:00,Problema com Animal Selvagem,245,Sim,Não,Sim,URGENTE
BCS-00071053,2025-08-12 19:30:25.242000+00:00,Problema com Animal Doméstico,245,Sim,Sim,Não,URGENTE
BCS-00071065,2025-08-12 20:31:23.187000+00:00,Problema com Animal Selvagem,245,Sim,Não,Não,URGENTE
BCS-00071066,2025-08-12 20:34:35.408000+00:00,Problema com Animal Selvagem,245,Sim,Sim,Sim,URGENTE
BCS-00071067,2025-08-12 20:43:10.306000+00:00,Problema com Animal Selvagem,245,Sim,Sim,Não,URGENTE
BCS-00071070,2025-08-12 21:15:27.360000+00:00,Problema com Animal Selvagem,245,Não,Não,Não,MEDIA
BCS-00071074,2025-08-12 21:53:42.441000+00:00,Problema com Animal Doméstico,245,Sim,Sim,Sim,URGENTE
BCS-00071173,2025-08-13 09:45:21.260000+00:00,Problema com Animal Selvagem,244,Não,Sim,Não,URGENTE
BCS-00071088,2025-08-12 23:36:42.337000+00:00,Problema com Animal Selvagem,245,Sim,Não,Não,URGENTE
BCS-00071089,2025-08-12 23:44:01.539000+00:00,Problema com Animal Selvagem,245,Sim,Não,Sim,URGENTE
BCS-00071090,2025-08-12 23:44:11.443000+00:00,Problema com Animal Selvagem,245,Sim,Sim,Sim,URGENTE
BCS-00071093,2025-08-13 00:10:06.624000+00:00,Problema com Animal Selvagem,245,Sim,Não,Não,URGENTE
BCS-00071111,2025-08-13 07:31:52.731000+00:00,Problema com Animal Doméstico,244,Sim,Sim,Não,URGENTE
BCS-00071114,2025-08-13 07:56:26.851000+00:00,Problema com Animal Doméstico,244,Sim,Não,Não,URGENTE
BCS-00071123,2025-08-13 08:14:22.368000+00:00,Problema com Animal Doméstico,244,Sim,Sim,Sim,URGENTE
BCS-00071241,2025-08-13 10:44:17.904000+00:00,Problema com Animal Selvagem,244,Não,Não,Não,MEDIA
BCS-00071016,2025-08-12 17:43:50.461000+00:00,Problema com Animal Selvagem,245,Não,Sim,Não,ALTA
BCS-00071027,2025-08-12 17:57:10.438000+00:00,Problema com Animal Doméstico,245,Não,Sim,Não,URGENTE
BCS-00071577,2025-08-13 16:30:38.614000+00:00,Problema com Animal Selvagem,244,Não,Sim,Não,URGENTE
BCS-00071596,2025-08-13 16:53:49.858000+00:00,Problema com Animal Doméstico,244,Não,Não,Não,ALTA
BCS-00071606,2025-08-13 17:50:30.560000+00:00,Problema com Animal Selvagem,244,Não,Não,Não,MEDIA
BCS-00071032,2025-08-12 18:06:49.460000+00:00,Problema com Animal Doméstico,245,Sim,Sim,Não,URGENTE
BCS-00071624,2025-08-13 18:28:04.794000+00:00,Problema com Animal Selvagem,244,Não,Sim,Não,URGENTE
BCS-00071638,2025-08-13 19:21:03.010000+00:00,Problema com Animal Selvagem,244,Sim,Sim,Sim,URGENTE
BCS-00071639,2025-08-13 19:35:24.829000+00:00,Problema com Animal Selvagem,244,Sim,Não,Sim,URGENTE
BCS-00071642,2025-08-13 19:54:13.989000+00:00,Problema com Animal Selvagem,244,Não,Não,Não,MEDIA
